url,한글title,영문title,스크린뷰
https://mweb2.lottecard.co.kr/app/LPBNFBD_V610.lc,혜택>포인트사용_L.POINTCase>납부완료,app>LPBNFBD_V610.lc,19140
https://mweb2.lottecard.co.kr/spa/card/card-issue/card-use-rg,카드>카드발급/수령>카드정보입력,spa>card>card-issue>card-use-rg,18787
https://mweb2.lottecard.co.kr/app/UpdateForcePopup,MAIN>스플래쉬>선택업데이트안내,MAIN>스플래쉬>선택업데이트안내,18739
https://mbt.lottecard.co.kr/app/search/MPSEABA_V100.lc,모빌리티>시외버스>검색,app>search>MPSEABA_V100.lc,18220
https://mweb2.lottecard.co.kr/spa/local/gde,로컬>로카지도>지도,spa>local>gde,18220
https://mweb2.lottecard.co.kr/spa/card/card-issue/issue-state-inq,카드>카드발급/수령>발급진행상황,spa>card>card-issue>issue-state-inq,18181
https://mweb2.lottecard.co.kr/spa/my/usage-limit-pick,MY>이용한도pick>이용한도pick,spa>my>usage-limit-pick,17976
https://mweb2.lottecard.co.kr/app/LoginCertFragment,로그인>인증서로그인,로그인>인증서로그인,17536
https://mweb2.lottecard.co.kr/spa/my/card-password-cert,"MY>카드비밀번호등록,변경>카드비밀번호등록,변경본인인증",spa>my>card-password-cert,17496
https://mweb2.lottecard.co.kr/front/my/payments/regular/life-charge/apt,정기결제>생활요금>아파트,front>my>payments>regular>life-charge>apt,17457
https://mbt.lottecard.co.kr/app/search/MPSEABC_V100.lc,모빌리티>시외버스>검색,app>search>MPSEABC_V100.lc,17232
https://mweb2.lottecard.co.kr/app/FinanceCertificationRegisterOrCancelFragment,로그인>인증서로그인>금융인증서등록/취소,로그인>인증서로그인>금융인증서등록/취소,17213
https://mweb2.lottecard.co.kr/front/my/payments/weekly/,정기결제>생활요금>위클리,front>my>payments>weekly,17144
https://mweb2.lottecard.co.kr/spa/my/split-card-payment,MY>나누기카드(할부전환)>나누기카드메인,spa>my>split-card-payment,17115
https://mweb2.lottecard.co.kr/app/LPBNFBB_V100.lc,혜택>포인트전환,혜택>포인트전환,17047
https://mweb2.lottecard.co.kr/app/PaymentTypeJustouchFragment,로카페이>결제>현장결제>JUSTOUCH_결제요청,로카페이>결제>현장결제>JUSTOUCH_결제요청,16597
https://mweb2.lottecard.co.kr/app/LPBNFTE_V100.lc,혜택>롯데계열사플랜할인>롯데계열사플랜할인_신청전,app>LPBNFTE_V100.lc,16567
https://locashop.lottecard.co.kr/mypage/my-coupon,띵샵>마이페이지>내쿠폰,mypage>my-coupon,16245
https://locashop.lottecard.co.kr/mypage/favorite-goods,띵샵>마이페이지>선물,mypage>favorite-goods,16157
https://mweb2.lottecard.co.kr/app/LPBNFTE_V400.lc,혜택>롯데계열사플랜할인>플랜할인내역_신청후(1회차),app>LPBNFTE_V400.lc,16108
https://mweb2.lottecard.co.kr/front/satellite/finance,금융>메인,front>satellite>finance,16049
https://dars.lottecard.co.kr/spa/my/usage-history,DARS>MY>이용내역(매출전표)>이용내역(매출전표),spa>my>usage-history,15912
https://mweb2.lottecard.co.kr/front/benefit/app-tech/locatto,혜택>앱태크>로카토,front>benefit>app-tech>locatto,15628
https://mweb2.lottecard.co.kr/app/LPOPBBB_V110.lc,오픈뱅킹>계좌/카드한눈에보기(오픈뱅킹)>내계좌,app>LPOPBBB_V110.lc,15306
https://mweb2.lottecard.co.kr/spa/card/cards/credit/application/member-validation-articles,카드>신용카드>회원확인사항,spa>card>cards>credit>application>member-validation-articles,15149
